SalePrice,LotArea,Bedroom,FullBath,GarageCars,YearBuilt,OverallQual,Neighborhood
215600,1354,4,2,1.0,2024.0,5,SawyerW
179516,1058,2,2,1.0,,5,SawyerW
129750,350,6,2,0.0,1975.0,2,College
262464,2014,5,2,2.0,1989.0,2,OldTown
204858,1484,2,1,1.0,1954.0,4,Crawfor
253780,1550,5,2,1.0,1947.0,5,NAmes
186291,973,3,2,0.0,2017.0,6,Crawfor
260471,1818,4,1,,2007.0,6,College
226677,1122,3,2,1.0,1938.0,4,NAmes
149571,1400,3,1,1.0,1941.0,1,NAmes
183216,724,2,1,2.0,2006.0,4,College
170929,649,4,2,1.0,2019.0,3,Crawfor
223223,2435,4,2,0.0,2003.0,2,NAmes
176567,1145,2,1,1.0,,5,OldTown
217785,1704,3,1,0.0,2024.0,5,OldTown
248149,1476,4,1,2.0,1983.0,5,College
165650,1191,5,3,1.0,2022.0,1,College
201031,1144,4,2,0.0,2020.0,5,SawyerW
288433,1941,3,1,,1957.0,6,SawyerW
196685,1289,4,2,3.0,,2,NAmes
213146,1394,3,2,,1986.0,4,NAmes
213342,1516,4,1,1.0,1965.0,4,OldTown
275541,2324,4,1,1.0,1960.0,3,College
203441,1976,3,3,1.0,1994.0,1,NAmes
227679,1768,5,1,1.0,1983.0,1,NAmes
181930,1106,5,2,1.0,2009.0,3,OldTown
137794,533,2,2,3.0,1932.0,3,SawyerW
271041,2165,4,3,0.0,1965.0,4,OldTown
272874,2177,2,3,,2017.0,4,College
176526,1402,5,2,1.0,,3,Crawfor
232605,1879,3,2,1.0,1963.0,3,OldTown
219934,2047,3,2,1.0,1970.0,3,NAmes
278001,2082,3,2,3.0,1929.0,6,College
254345,2145,2,2,1.0,1943.0,3,Crawfor
178951,1181,2,2,1.0,2000.0,4,NAmes
252873,2560,4,2,0.0,1987.0,1,OldTown
146692,627,5,1,1.0,,3,SawyerW
243307,2103,4,1,0.0,1977.0,1,NAmes
201630,1846,3,2,1.0,1979.0,1,College
271215,2112,6,1,,1904.0,5,SawyerW
259510,2815,4,2,,1981.0,1,College
250033,2539,6,3,1.0,2024.0,1,OldTown
194874,698,2,1,3.0,2004.0,6,College
158266,350,2,1,1.0,1981.0,6,College
243760,2072,2,3,1.0,2022.0,2,Crawfor
210869,789,5,2,2.0,2010.0,6,OldTown
223902,1491,3,2,0.0,1995.0,5,College
295595,2088,3,2,3.0,1974.0,6,College
129329,350,4,3,0.0,1989.0,3,SawyerW
152650,350,4,1,0.0,2011.0,5,Crawfor
208054,1682,4,2,1.0,1960.0,1,SawyerW
206273,1531,3,2,3.0,2000.0,1,NAmes
164636,1328,3,3,1.0,1999.0,1,OldTown
153226,1527,3,3,,2024.0,1,SawyerW
197709,898,3,1,3.0,2008.0,6,OldTown
140342,441,4,1,,1964.0,3,NAmes
159561,1383,3,2,1.0,2024.0,3,SawyerW
135618,820,4,1,0.0,1986.0,2,OldTown
142946,350,4,1,0.0,1962.0,4,NAmes
196503,1854,4,3,0.0,1995.0,1,College
166380,1457,2,3,0.0,1977.0,2,College
285743,1785,4,1,1.0,2018.0,6,OldTown
216191,807,3,2,1.0,1945.0,6,Crawfor
207109,1039,4,1,1.0,1951.0,6,College
193302,801,6,1,,1977.0,3,NAmes
211049,879,3,3,,2024.0,5,OldTown
164850,1637,2,1,1.0,2015.0,1,SawyerW
209480,952,4,1,1.0,1955.0,3,College
209040,1749,3,1,2.0,1933.0,3,College
255400,1738,3,3,3.0,1975.0,5,SawyerW
308092,2918,4,2,1.0,1947.0,5,NAmes
164165,525,4,2,0.0,,5,Crawfor
221042,2122,2,2,1.0,1990.0,3,OldTown
201679,1437,4,3,0.0,1984.0,3,NAmes
243948,1490,3,2,1.0,1971.0,5,OldTown
130077,485,4,1,1.0,2024.0,2,OldTown
173931,1178,4,1,0.0,,3,College
241829,2020,2,1,1.0,1944.0,2,College
192624,1442,2,3,0.0,2018.0,4,NAmes
226525,1557,4,2,1.0,2024.0,3,SawyerW
234049,1296,5,3,3.0,1973.0,5,College
284072,2308,3,2,1.0,2004.0,5,NAmes
187789,1485,2,2,1.0,2024.0,2,Crawfor
103956,350,3,1,1.0,1960.0,1,SawyerW
159991,1016,3,2,,1979.0,1,SawyerW
122290,350,2,1,3.0,1998.0,3,NAmes
154484,350,6,3,0.0,1921.0,5,College
199254,1129,4,1,3.0,1980.0,3,Crawfor
289300,2433,5,2,0.0,2007.0,5,OldTown
239432,1533,6,1,2.0,1981.0,6,OldTown
174292,679,4,2,0.0,2015.0,6,NAmes
139019,842,3,2,1.0,2007.0,2,OldTown
262818,2291,2,2,1.0,1972.0,4,College
246035,1610,2,2,3.0,2001.0,5,College
219725,1534,3,2,,1998.0,4,OldTown
195926,1463,4,2,1.0,1934.0,3,College
206666,1527,4,1,1.0,1958.0,3,College
230760,2064,2,1,0.0,1960.0,5,OldTown
192020,1887,3,2,2.0,1968.0,3,SawyerW
257610,1651,6,1,3.0,,5,College
122353,770,3,1,2.0,1940.0,2,OldTown
223650,1858,2,1,0.0,1985.0,5,NAmes
176361,1021,3,3,2.0,1928.0,4,College
283764,2266,3,1,1.0,2013.0,5,OldTown
108070,610,4,2,1.0,,1,NAmes
202405,1404,4,1,1.0,2024.0,3,College
224844,1495,2,1,1.0,1994.0,6,OldTown
136680,573,2,3,3.0,1968.0,3,College
252707,2705,3,2,0.0,1940.0,3,College
253329,2522,3,2,1.0,2004.0,1,OldTown
227138,1175,6,1,,1984.0,6,College
259144,2040,3,1,3.0,1995.0,3,OldTown
281104,1765,3,1,1.0,2006.0,6,OldTown
107218,350,4,2,0.0,2020.0,1,SawyerW
245986,1675,3,1,2.0,1982.0,5,OldTown
232717,1457,6,3,0.0,2024.0,5,OldTown
179715,1558,4,1,0.0,1981.0,1,OldTown
119579,746,3,2,0.0,1983.0,1,College
194647,1311,5,1,1.0,2004.0,4,OldTown
221595,1375,5,2,1.0,,2,SawyerW
269918,2332,4,2,1.0,2024.0,6,NAmes
242796,1734,2,2,1.0,,5,NAmes
230646,1496,3,1,3.0,2024.0,4,College
297567,2570,4,2,0.0,1937.0,5,NAmes
130543,1111,3,1,0.0,1966.0,1,NAmes
213624,1227,4,1,0.0,1995.0,6,SawyerW
148531,350,3,1,,2019.0,6,NAmes
258960,2598,3,2,1.0,1953.0,3,College
280847,2175,4,2,2.0,1932.0,5,SawyerW
223251,2142,5,2,1.0,2012.0,1,College
225785,1968,3,2,1.0,,3,SawyerW
256871,1577,5,2,,1952.0,5,SawyerW
203514,1651,6,2,2.0,1974.0,2,OldTown
198217,1324,2,3,1.0,1924.0,3,NAmes
223643,1357,6,1,2.0,2001.0,5,OldTown
248426,1538,3,2,3.0,1968.0,5,College
289865,2558,2,1,1.0,2022.0,5,SawyerW
222419,1889,5,2,2.0,1921.0,1,NAmes
182167,1459,2,2,1.0,,3,OldTown
150019,1094,6,1,,2024.0,1,SawyerW
161763,1056,3,2,1.0,1988.0,3,College
291502,2622,4,1,1.0,1988.0,4,OldTown
249712,1855,3,2,3.0,1927.0,3,College
249197,1547,6,1,0.0,1994.0,5,SawyerW
187691,1258,4,3,1.0,1984.0,3,OldTown
181746,724,6,3,1.0,1966.0,4,NAmes
186654,1453,5,1,0.0,1936.0,4,OldTown
229952,2112,5,2,1.0,1986.0,4,OldTown
160573,1225,6,2,,1953.0,1,College
202584,1341,4,3,1.0,1968.0,4,OldTown
164072,1345,3,2,0.0,1993.0,3,Crawfor
163733,1577,3,2,0.0,1982.0,2,Crawfor
170367,385,4,3,1.0,1983.0,5,Crawfor
156612,1335,3,2,1.0,2011.0,1,OldTown
135302,902,5,2,1.0,1948.0,2,NAmes
276322,2119,4,2,0.0,2024.0,3,College
151322,961,2,1,1.0,1949.0,2,College
260792,1904,6,2,3.0,1955.0,4,SawyerW
315283,2567,6,1,1.0,1987.0,5,OldTown
162130,1280,3,1,1.0,2007.0,2,OldTown
232137,1079,3,1,1.0,1991.0,6,Crawfor
170922,1634,3,2,0.0,1970.0,2,College
215581,1499,5,2,1.0,1962.0,5,NAmes
148446,804,2,1,,1975.0,3,College
236722,1823,3,2,1.0,1954.0,5,OldTown
317486,2911,4,3,0.0,2001.0,3,College
197449,1319,3,2,0.0,,6,OldTown
184490,1358,4,3,0.0,2024.0,3,OldTown
147155,769,6,2,1.0,,1,OldTown
266556,1723,5,1,1.0,1979.0,6,College
171863,627,2,1,0.0,1996.0,5,College
187868,725,3,2,0.0,1949.0,6,College
300265,2396,3,2,2.0,1963.0,3,Crawfor
128784,866,4,2,0.0,2024.0,1,NAmes
264885,2257,4,2,2.0,1983.0,3,SawyerW
285711,2567,4,1,1.0,2024.0,3,OldTown
222108,1682,3,2,1.0,1952.0,4,SawyerW
215819,1887,4,2,1.0,1909.0,2,SawyerW
299397,2867,3,1,0.0,2000.0,5,College
184419,1362,3,2,1.0,1982.0,3,OldTown
159126,1085,3,2,1.0,1992.0,3,OldTown
109108,553,3,2,1.0,1973.0,1,College
185701,1529,4,2,1.0,1965.0,3,College
263428,2535,5,3,1.0,1945.0,1,NAmes
233295,2172,5,1,,2014.0,4,College
166924,841,3,2,1.0,1937.0,1,SawyerW
189904,901,4,1,1.0,2012.0,3,NAmes
176981,1147,2,1,1.0,,2,SawyerW
179031,1705,2,2,0.0,1949.0,1,OldTown
212764,1356,4,2,1.0,1963.0,5,College
267427,1650,4,1,1.0,2012.0,6,Crawfor
195069,1708,3,2,,2005.0,1,OldTown
191622,1291,3,2,0.0,1998.0,3,OldTown
236758,1472,5,1,2.0,1986.0,6,SawyerW
271672,1645,4,3,1.0,1950.0,6,NAmes
209557,1441,5,1,0.0,2023.0,5,NAmes
205328,1852,2,2,2.0,1970.0,1,SawyerW
268078,2810,6,2,0.0,1966.0,3,SawyerW
197950,1914,5,2,0.0,1967.0,1,College
241326,1539,5,1,1.0,1970.0,5,OldTown
129311,350,2,2,,1938.0,3,SawyerW
256261,1772,4,1,2.0,1969.0,6,OldTown
128317,350,4,1,1.0,1958.0,2,NAmes
119568,514,3,2,2.0,1967.0,1,OldTown
278209,2098,6,2,2.0,1930.0,3,OldTown
222283,1994,5,3,1.0,2024.0,4,Crawfor
224424,1395,5,2,3.0,1946.0,3,OldTown
143575,350,5,2,,1992.0,3,SawyerW
162778,1240,3,2,1.0,1992.0,3,OldTown
160462,1025,5,2,1.0,2013.0,3,Crawfor
240334,1946,4,3,3.0,2024.0,1,OldTown
299517,3080,4,2,2.0,1995.0,3,SawyerW
222592,1652,4,3,3.0,2005.0,3,NAmes
154206,954,5,2,0.0,1969.0,1,College
152004,681,4,3,1.0,,3,OldTown
231294,1461,3,2,1.0,1941.0,5,OldTown
173707,1376,4,2,3.0,1976.0,1,OldTown
143260,694,4,1,1.0,1991.0,2,NAmes
268677,1581,3,1,3.0,,6,College
162703,694,4,3,1.0,2008.0,3,NAmes
212530,2278,4,2,,2018.0,2,SawyerW
287289,2244,3,1,0.0,2000.0,6,SawyerW
231432,2259,3,1,0.0,1984.0,2,OldTown
164105,1168,3,1,1.0,,3,OldTown
281423,1860,5,1,0.0,,6,Crawfor
164649,1408,3,2,0.0,1992.0,3,Crawfor
191507,1228,3,1,0.0,2011.0,2,College
217818,1263,4,2,1.0,1979.0,6,NAmes
205074,590,5,2,0.0,1928.0,6,SawyerW
148338,489,3,2,1.0,1965.0,4,College
218967,2056,6,2,1.0,1993.0,2,OldTown
215914,1366,3,1,3.0,2024.0,4,SawyerW
212997,1652,4,3,1.0,2024.0,2,Crawfor
249863,2201,5,3,0.0,2024.0,2,Crawfor
168289,350,4,1,,1962.0,5,College
175613,951,4,2,0.0,2007.0,5,OldTown
218021,1623,3,2,1.0,1982.0,3,College
239034,1774,4,3,1.0,,3,OldTown
203472,1236,4,2,2.0,1981.0,4,Crawfor
271529,2220,6,2,,1942.0,4,College
185977,1647,3,2,3.0,2005.0,1,NAmes
149171,651,3,1,,1994.0,3,OldTown
174269,848,2,2,0.0,2008.0,4,Crawfor
203448,2064,4,1,1.0,,1,College
247289,1825,4,3,,2015.0,5,NAmes
172432,350,2,2,0.0,2018.0,6,SawyerW
266799,2443,2,2,2.0,2024.0,5,NAmes
256268,1919,3,2,,2024.0,5,OldTown
271766,2440,2,2,1.0,1970.0,5,OldTown
201000,1231,6,2,0.0,1907.0,6,College
190571,1293,5,3,1.0,2014.0,2,NAmes
141075,711,2,1,1.0,1955.0,3,Crawfor
347593,3276,5,2,1.0,1976.0,3,SawyerW
233107,1377,5,1,,2017.0,3,SawyerW
304090,2611,5,2,1.0,1992.0,5,OldTown
188526,1047,6,2,,1991.0,2,Crawfor
220223,1615,4,1,2.0,,2,SawyerW
114601,350,4,1,0.0,1926.0,3,SawyerW
219801,1232,5,3,3.0,2024.0,5,NAmes
276969,2189,5,3,,1973.0,3,OldTown
158755,624,4,1,0.0,1974.0,5,SawyerW
233565,2251,4,1,,2001.0,2,SawyerW
211660,1736,4,2,0.0,1980.0,3,NAmes
150672,769,3,3,0.0,1958.0,3,OldTown
170821,1149,3,2,1.0,1979.0,3,SawyerW
194448,1179,4,3,0.0,1971.0,3,Crawfor
215156,1465,5,2,1.0,1963.0,2,SawyerW
190694,1125,3,2,0.0,2024.0,5,OldTown
168915,921,4,1,3.0,1940.0,4,Crawfor
189557,1287,3,2,1.0,1916.0,3,OldTown
157731,781,3,2,1.0,1955.0,5,OldTown
158439,597,3,2,1.0,1954.0,5,NAmes
203338,1466,3,1,1.0,2024.0,2,SawyerW
271478,2118,6,2,2.0,1988.0,1,College
126686,429,3,2,3.0,2008.0,1,NAmes
174918,1502,3,2,1.0,2002.0,2,SawyerW
184730,1045,3,2,1.0,1955.0,3,OldTown
160665,816,3,2,1.0,2008.0,6,OldTown
219121,2097,6,2,,1988.0,1,NAmes
186322,1137,6,1,1.0,2024.0,1,NAmes
275954,2549,3,2,0.0,1989.0,3,OldTown
128071,954,2,3,,1981.0,1,College
209417,1771,2,2,0.0,2005.0,5,SawyerW
225583,1341,6,1,1.0,2006.0,4,College
215140,972,5,3,,1927.0,5,OldTown
219038,1911,5,1,0.0,2020.0,3,College
250263,1392,4,1,3.0,2016.0,6,Crawfor
213535,1922,4,2,1.0,2008.0,2,SawyerW
206323,1467,5,1,2.0,,5,OldTown
167823,740,3,1,0.0,1921.0,4,NAmes
247842,1429,5,3,,1974.0,6,SawyerW
202050,1536,3,2,1.0,2006.0,4,College
238865,2171,4,1,1.0,1997.0,4,College
143155,866,2,2,0.0,1952.0,2,OldTown
181356,1472,5,1,1.0,2011.0,2,College
145226,350,2,2,1.0,1940.0,4,College
229812,1956,4,3,0.0,1942.0,3,College
167082,743,3,3,0.0,1982.0,3,NAmes
134143,350,6,2,1.0,1965.0,3,NAmes
223708,1459,3,3,2.0,1962.0,5,College
246074,2274,2,1,,1937.0,6,Crawfor
98901,433,6,2,0.0,2016.0,1,SawyerW
185906,738,4,2,0.0,1949.0,5,Crawfor
202944,980,4,1,1.0,1995.0,2,NAmes
136589,709,4,2,1.0,2007.0,3,SawyerW
228441,1766,6,2,1.0,1981.0,4,SawyerW
175472,935,2,1,3.0,1990.0,3,NAmes
151460,995,5,1,0.0,2014.0,1,NAmes
219601,1908,4,1,1.0,2024.0,3,NAmes
193466,971,3,2,1.0,2012.0,5,College
240366,1803,6,2,,1940.0,5,College
194025,820,4,2,,1925.0,6,OldTown
190960,652,6,2,0.0,1964.0,5,Crawfor
142810,350,3,1,,1948.0,3,Crawfor
306855,2803,4,2,0.0,2000.0,5,College
198232,1276,2,2,,1986.0,5,College
242025,1671,6,3,2.0,1976.0,3,OldTown
211783,1478,6,2,0.0,2016.0,2,Crawfor
219725,1612,6,1,0.0,2014.0,3,SawyerW
229733,1535,3,2,,1981.0,6,Crawfor
328823,2836,4,2,0.0,1994.0,6,SawyerW
148351,773,3,1,0.0,,2,College
125678,410,5,1,1.0,,3,SawyerW
102699,792,2,2,0.0,,1,NAmes
178053,566,5,1,1.0,1953.0,5,NAmes
212636,2023,4,1,0.0,1984.0,1,College
224438,2074,3,2,0.0,1993.0,1,College
170273,827,4,2,2.0,1980.0,3,Crawfor
121811,527,4,2,,1989.0,2,College
152030,1252,2,2,,2004.0,1,NAmes
222642,2474,2,2,1.0,1996.0,1,College
154323,350,5,1,,1962.0,6,NAmes
198291,1869,4,2,1.0,1965.0,1,OldTown
170547,747,3,2,1.0,1945.0,5,OldTown
264675,2228,4,2,0.0,2024.0,3,OldTown
161365,745,5,2,2.0,1996.0,4,College
225520,1300,4,1,1.0,,6,College
149897,446,4,1,1.0,1979.0,5,Crawfor
200966,816,6,1,3.0,1998.0,3,Crawfor
273701,2470,4,2,1.0,1999.0,3,OldTown
215004,2074,2,1,3.0,1961.0,1,NAmes
236622,1219,4,2,1.0,,6,College
178650,891,3,1,0.0,2019.0,5,NAmes
152401,350,4,3,1.0,1944.0,5,College
213246,1224,2,3,,1954.0,3,NAmes
232459,1478,6,1,3.0,2001.0,3,OldTown
252741,1441,4,2,1.0,1959.0,5,College
223761,1434,5,2,1.0,2006.0,3,College
203297,715,4,2,3.0,1950.0,5,College
189237,1454,2,3,1.0,1991.0,2,College
182848,1473,4,2,2.0,2008.0,2,College
288092,2403,4,2,,1995.0,3,College
306813,2807,3,2,2.0,2007.0,4,College
200644,1404,3,2,0.0,1978.0,3,SawyerW
161818,964,3,2,0.0,1979.0,3,NAmes
152068,1455,2,1,0.0,1983.0,1,Crawfor
140165,1075,4,2,,2001.0,1,SawyerW
221471,980,3,2,2.0,2024.0,6,College
231923,1459,4,1,3.0,1981.0,3,SawyerW
159566,770,3,1,3.0,,3,College
223187,1924,4,2,0.0,1977.0,2,OldTown
240239,1427,6,3,0.0,1950.0,4,College
217773,1675,4,2,1.0,1976.0,4,OldTown
167447,1372,5,2,,1996.0,1,College
171569,991,4,1,2.0,1989.0,4,OldTown
187796,836,5,1,0.0,1988.0,4,College
212469,1334,2,1,1.0,2000.0,5,College
195508,1116,4,1,1.0,2002.0,5,OldTown
185325,1664,3,1,1.0,2012.0,3,College
169985,1497,3,2,0.0,1948.0,1,Crawfor
149756,546,6,2,2.0,1984.0,1,SawyerW
234023,1547,3,1,1.0,,6,OldTown
124956,560,4,3,,1992.0,1,SawyerW
176384,1068,4,2,1.0,1982.0,2,SawyerW
146622,1294,2,3,1.0,1989.0,1,OldTown
122919,350,3,2,0.0,1970.0,3,College
227971,1564,3,2,1.0,1959.0,4,OldTown
230654,1606,3,1,,1977.0,5,College
181856,1389,2,1,0.0,2004.0,4,NAmes
185790,1203,5,1,0.0,2007.0,3,OldTown
212427,1238,4,2,3.0,1934.0,4,OldTown
186964,816,2,2,1.0,1992.0,6,OldTown
181729,1311,6,2,1.0,1993.0,1,SawyerW
165586,1113,3,1,1.0,1940.0,2,OldTown
187305,1564,3,2,0.0,1951.0,3,College
145706,657,4,3,1.0,1968.0,3,NAmes
260330,1665,4,2,3.0,1996.0,5,NAmes
250647,1600,4,1,1.0,1913.0,5,SawyerW
253157,1401,4,1,1.0,1972.0,6,OldTown
192344,1193,4,2,0.0,1968.0,5,College
240866,1887,3,1,,1989.0,2,OldTown
183489,350,5,2,1.0,2024.0,6,College
264952,1822,5,3,2.0,2024.0,5,OldTown
211282,1670,2,2,0.0,1972.0,3,OldTown
224204,1698,2,2,1.0,1972.0,3,Crawfor
259013,1768,3,2,1.0,1991.0,4,NAmes
154027,1042,3,1,1.0,2019.0,3,OldTown
190615,1318,3,1,,2024.0,3,NAmes
261888,1946,5,2,,1994.0,5,OldTown
243500,1801,3,2,1.0,2024.0,5,College
255959,1645,6,1,0.0,1957.0,5,Crawfor
145765,440,5,3,1.0,1949.0,2,Crawfor
196869,1877,6,1,1.0,1904.0,1,College
