survived,pclass,sex,age,sibsp,parch,fare,embark_town
1,3,male,28.9,1,0,7.22,Cherbourg
0,3,male,32.8,0,0,22.33,Southampton
1,3,male,24.8,1,0,26.22,Southampton
1,3,female,3.1,0,0,13.73,Southampton
1,3,female,24.4,1,1,22.74,Southampton
1,3,female,24.4,0,0,8.92,Southampton
0,1,male,26.9,0,1,161.17,Cherbourg
1,1,male,21.1,0,0,209.53,Southampton
0,3,male,22.8,0,0,8.82,Southampton
1,3,male,28.4,0,0,22.3,Southampton
0,3,male,35.2,1,1,17.65,Southampton
1,3,female,24.7,1,0,18.29,Cherbourg
0,3,female,23.3,0,0,22.66,Cherbourg
1,3,female,30.3,1,0,17.22,Southampton
0,3,male,2.1,1,0,20.01,Southampton
0,2,male,35.7,1,0,40.85,Southampton
0,1,male,29.0,1,0,120.54,Southampton
0,2,male,29.6,0,1,33.26,Southampton
1,1,male,42.5,0,0,46.52,Southampton
0,2,male,1.7,0,0,32.49,Cherbourg
0,3,male,1.4,1,0,9.61,Southampton
1,1,female,32.8,0,0,118.21,Southampton
0,1,male,28.9,0,0,100.47,Queenstown
1,2,female,31.4,0,0,21.8,Queenstown
1,2,male,22.5,2,0,57.31,Queenstown
0,3,male,38.3,0,0,15.92,Queenstown
0,3,male,42.1,0,1,28.94,Southampton
1,3,male,35.8,1,0,17.73,Cherbourg
0,3,male,25.3,3,0,16.74,Southampton
0,2,male,0.5,0,2,47.46,Cherbourg
1,3,female,39.8,1,2,14.48,Cherbourg
1,1,male,46.1,1,0,95.08,Southampton
0,1,male,38.0,0,0,204.14,Queenstown
1,1,male,16.7,1,0,209.35,Southampton
0,3,male,38.4,0,0,22.85,Southampton
0,3,male,41.0,0,0,26.83,Queenstown
1,1,male,50.8,0,0,194.82,Queenstown
0,3,female,16.7,0,0,27.02,Southampton
1,1,female,25.8,0,0,93.38,Southampton
1,3,female,39.5,0,0,12.1,Southampton
0,2,male,29.8,0,0,56.72,Southampton
0,2,male,13.4,0,0,37.46,Southampton
1,2,female,34.8,0,1,20.56,Southampton
0,3,male,37.1,0,1,17.37,Southampton
0,2,male,30.2,1,0,21.21,Southampton
0,1,male,32.1,1,0,161.83,Southampton
1,1,female,25.4,0,0,166.69,Southampton
1,3,male,49.7,2,0,24.08,Southampton
1,3,female,16.4,0,0,15.83,Southampton
0,3,female,20.8,1,0,11.84,Southampton
1,2,male,29.2,0,0,14.65,Southampton
0,3,female,41.3,1,0,13.2,Queenstown
0,3,male,8.0,3,0,28.57,Southampton
0,3,male,10.7,1,0,17.7,Southampton
0,2,male,0.5,0,0,36.88,Southampton
1,2,female,29.5,0,2,16.64,Southampton
1,1,male,13.3,0,0,56.57,Southampton
0,3,male,23.6,0,0,18.0,Southampton
0,3,male,38.3,1,0,8.23,Southampton
1,1,male,20.0,3,0,226.97,Cherbourg
1,2,male,32.2,0,0,44.78,Southampton
0,3,male,24.8,0,0,15.81,Southampton
1,1,male,38.4,0,0,209.19,Southampton
1,3,female,35.7,0,0,18.83,Cherbourg
0,3,male,19.3,0,0,22.55,Southampton
1,3,female,26.6,0,0,27.03,Southampton
0,2,male,43.6,1,0,13.24,Southampton
1,3,female,34.5,0,0,29.33,Cherbourg
0,3,male,9.4,0,1,22.6,Southampton
0,3,male,38.2,0,0,12.11,Cherbourg
1,1,female,13.8,1,0,84.6,Southampton
1,2,male,48.8,1,0,55.8,Southampton
1,1,male,43.3,0,0,255.17,Southampton
1,3,female,33.1,0,0,12.28,Southampton
1,2,female,31.2,0,0,31.78,Southampton
1,1,male,26.1,0,0,112.92,Southampton
1,1,male,38.5,0,0,127.42,Cherbourg
1,3,female,23.8,0,0,21.46,Queenstown
1,1,female,32.3,2,1,243.06,Southampton
1,3,female,41.2,0,0,9.33,Southampton
0,3,male,21.1,0,2,26.94,Southampton
1,2,female,20.4,0,0,24.02,Southampton
0,3,male,12.3,2,1,8.21,Southampton
0,1,female,14.1,3,1,228.57,Southampton
0,3,male,3.4,1,0,10.04,Southampton
1,3,female,39.2,0,1,8.42,Cherbourg
0,3,male,54.3,0,2,20.65,Cherbourg
1,1,male,49.0,1,0,230.11,Cherbourg
0,3,female,6.2,1,0,8.33,Southampton
0,3,male,39.1,0,0,20.03,Southampton
1,3,female,48.9,0,1,23.97,Southampton
0,3,male,22.6,0,0,24.83,Cherbourg
0,3,male,30.4,1,1,8.89,Southampton
0,2,male,0.9,1,1,31.2,Cherbourg
0,2,male,32.7,0,2,49.73,Southampton
0,3,male,14.1,0,0,9.03,Queenstown
1,2,male,31.8,0,0,16.85,Southampton
0,1,male,7.1,0,0,87.38,Cherbourg
0,3,female,36.6,0,2,18.12,Southampton
1,3,female,43.3,1,2,9.87,Southampton
1,1,female,18.0,0,0,237.91,Southampton
0,3,male,13.1,0,0,29.06,Cherbourg
0,1,male,0.5,0,0,177.03,Southampton
0,3,male,25.3,0,2,21.23,Southampton
0,2,female,20.9,0,0,18.99,Southampton
1,3,female,7.3,0,0,5.45,Southampton
0,3,male,35.3,0,1,23.96,Southampton
0,3,female,22.7,1,0,15.85,Southampton
0,1,male,13.9,0,0,138.38,Southampton
0,3,male,21.2,0,0,18.36,Southampton
1,1,male,44.0,0,1,99.68,Cherbourg
1,1,male,37.4,1,0,182.67,Southampton
1,3,female,27.2,0,0,10.07,Cherbourg
1,2,female,37.7,1,0,21.51,Southampton
0,3,male,12.7,2,0,22.27,Southampton
0,3,male,29.5,0,1,13.53,Southampton
1,2,female,31.1,0,0,28.47,Southampton
1,3,female,22.4,1,0,21.74,Southampton
1,2,male,35.1,0,0,36.9,Southampton
0,3,male,18.1,0,0,7.0,Cherbourg
1,2,male,36.1,0,0,52.3,Southampton
0,3,male,36.7,0,0,7.86,Southampton
0,1,female,0.5,0,0,258.86,Southampton
1,1,male,45.7,0,0,242.05,Southampton
0,2,female,0.5,0,0,29.73,Cherbourg
0,3,male,20.4,0,0,15.28,Cherbourg
0,3,male,43.4,0,2,16.04,Southampton
1,3,female,24.6,2,0,7.73,Southampton
1,3,male,8.5,0,2,27.92,Southampton
0,3,male,13.7,0,0,19.98,Southampton
1,3,female,43.4,0,0,14.71,Southampton
1,2,female,2.1,0,0,25.92,Southampton
0,3,male,44.8,0,0,12.85,Queenstown
0,3,male,28.2,0,1,26.36,Southampton
0,2,male,12.3,0,0,44.2,Queenstown
1,1,male,20.8,0,0,166.35,Southampton
0,3,male,14.8,0,0,27.77,Southampton
1,2,male,41.1,0,0,15.09,Southampton
1,3,female,39.3,0,2,25.32,Southampton
0,2,female,4.9,0,2,20.45,Southampton
1,1,female,23.3,0,0,58.28,Southampton
0,3,female,16.9,0,1,22.25,Southampton
1,1,female,47.1,0,1,129.87,Cherbourg
1,1,female,10.1,0,0,218.4,Southampton
1,3,female,51.5,0,0,24.02,Southampton
0,3,male,28.5,0,0,12.38,Southampton
0,1,male,12.7,2,0,100.21,Southampton
0,2,male,19.5,0,2,29.46,Cherbourg
1,3,male,17.8,0,0,11.84,Southampton
0,3,male,11.2,0,1,21.68,Southampton
0,3,male,30.3,3,2,23.67,Southampton
0,1,male,11.8,0,0,185.23,Southampton
0,1,male,0.5,0,0,71.3,Queenstown
1,1,male,23.7,3,2,64.5,Cherbourg
0,1,female,3.8,0,2,69.12,Cherbourg
0,3,female,18.5,2,0,10.62,Cherbourg
1,1,male,16.3,0,0,232.42,Southampton
0,3,male,16.8,0,0,22.88,Southampton
1,3,male,57.0,0,0,11.67,Southampton
1,3,female,29.8,0,0,18.9,Southampton
1,1,female,32.4,2,0,202.17,Southampton
0,3,male,4.1,0,0,11.24,Cherbourg
1,3,female,19.8,3,0,23.4,Queenstown
0,3,male,32.0,0,0,28.85,Southampton
1,1,male,14.7,0,0,139.68,Southampton
1,1,female,41.7,2,1,228.45,Southampton
0,3,male,12.2,0,0,20.18,Southampton
0,2,male,25.0,2,0,30.46,Southampton
1,2,male,20.8,0,0,27.57,Cherbourg
0,3,male,31.3,1,0,7.88,Cherbourg
1,3,female,20.0,0,0,6.14,Cherbourg
0,3,female,25.2,0,0,24.76,Southampton
0,2,male,25.7,0,0,39.3,Southampton
0,3,male,18.7,0,0,11.17,Southampton
1,1,female,35.8,0,0,145.27,Southampton
0,3,male,32.3,0,0,23.93,Southampton
0,3,female,27.8,1,2,16.63,Southampton
1,1,female,23.0,0,1,255.05,Southampton
0,1,male,40.2,1,0,137.76,Southampton
0,2,female,25.7,3,0,12.45,Cherbourg
1,3,male,24.7,0,0,27.21,Cherbourg
0,3,male,30.5,0,0,11.36,Southampton
1,3,male,52.8,0,0,21.48,Southampton
0,3,male,10.2,0,0,5.51,Southampton
1,3,female,39.8,0,0,29.78,Southampton
0,3,female,2.5,1,0,11.53,Southampton
1,1,female,32.0,0,0,116.21,Southampton
1,1,female,51.1,0,1,214.59,Cherbourg
0,3,male,35.8,1,1,9.01,Cherbourg
0,3,male,31.4,0,0,26.2,Southampton
1,1,female,21.2,0,0,238.26,Southampton
0,3,female,29.4,0,0,16.05,Cherbourg
0,3,male,25.5,1,0,16.8,Cherbourg
0,3,male,18.0,0,0,14.35,Queenstown
0,3,male,24.9,0,0,19.66,Queenstown
1,2,male,31.8,0,0,46.03,Cherbourg
1,2,female,18.3,0,2,14.26,Queenstown
1,2,male,17.7,0,0,46.12,Southampton
1,3,female,10.0,0,0,26.94,Southampton
1,3,female,34.5,3,0,24.32,Southampton
0,3,female,36.6,0,0,6.02,Southampton
1,2,male,32.2,1,0,22.89,Southampton
1,1,male,42.5,0,0,114.05,Southampton
0,3,female,30.2,0,0,19.72,Southampton
0,3,female,34.5,0,0,19.38,Southampton
1,1,male,33.3,0,0,173.14,Queenstown
1,1,female,27.7,1,1,130.21,Southampton
0,3,male,21.6,2,0,9.48,Southampton
1,1,female,60.0,1,0,241.55,Southampton
0,3,male,22.7,0,0,8.74,Cherbourg
1,2,male,19.7,1,0,12.5,Southampton
1,1,male,35.1,0,0,240.05,Southampton
0,3,male,32.5,1,2,21.28,Southampton
0,1,male,9.3,0,0,190.0,Queenstown
1,2,male,44.7,0,0,14.83,Southampton
1,1,male,27.7,0,0,68.87,Southampton
1,1,female,13.4,0,0,180.43,Cherbourg
0,1,male,45.6,0,0,86.08,Southampton
1,1,female,37.8,1,0,89.64,Southampton
1,1,female,11.3,1,0,211.41,Southampton
1,1,male,53.9,2,0,102.9,Queenstown
0,3,male,38.2,0,0,12.57,Southampton
0,3,female,28.9,0,0,5.66,Southampton
1,2,female,51.3,0,0,46.15,Cherbourg
1,2,male,31.2,0,1,14.31,Cherbourg
1,3,female,28.6,0,0,11.85,Queenstown
0,3,male,19.8,0,0,29.81,Southampton
1,3,male,37.1,0,0,22.62,Southampton
1,1,female,35.7,0,0,156.56,Southampton
0,1,male,29.2,0,0,120.1,Cherbourg
0,1,female,17.9,0,0,146.16,Southampton
1,2,male,30.8,0,0,22.92,Cherbourg
1,3,female,28.0,2,2,19.68,Southampton
1,2,male,10.3,0,0,15.9,Southampton
0,1,male,8.4,1,0,257.68,Southampton
1,2,male,36.9,0,0,20.77,Southampton
0,3,male,0.5,1,0,11.17,Southampton
1,1,female,31.9,1,0,150.37,Cherbourg
0,3,male,22.3,1,0,17.95,Cherbourg
1,1,male,47.3,0,0,242.83,Southampton
0,3,male,22.1,0,0,26.14,Cherbourg
0,1,male,38.2,0,0,136.45,Southampton
1,3,female,23.4,0,2,18.99,Queenstown
1,3,male,30.6,0,0,23.04,Southampton
1,3,female,39.3,0,0,12.0,Southampton
1,3,male,22.5,0,2,26.59,Southampton
1,3,female,43.0,0,0,11.01,Southampton
0,3,male,15.1,0,0,26.0,Cherbourg
0,3,male,33.1,0,0,6.96,Cherbourg
1,1,female,41.9,1,2,40.97,Southampton
1,3,female,38.2,1,0,14.52,Southampton
1,3,female,55.8,0,0,26.35,Southampton
0,3,male,18.3,0,2,8.61,Southampton
0,3,male,9.7,0,0,26.89,Southampton
1,2,female,15.1,0,2,43.54,Queenstown
0,3,male,38.2,0,1,16.31,Southampton
1,2,female,36.0,0,2,41.53,Southampton
0,1,male,30.4,2,0,107.9,Southampton
0,3,male,13.3,0,0,28.61,Southampton
1,2,female,39.7,1,0,38.36,Southampton
1,1,female,11.9,0,0,168.77,Southampton
1,2,male,45.2,0,0,55.38,Southampton
1,2,male,69.0,1,2,19.92,Cherbourg
0,2,male,34.1,0,0,39.75,Southampton
0,2,male,37.2,1,0,48.21,Southampton
0,3,male,22.1,0,0,22.48,Southampton
0,2,male,3.7,0,0,53.64,Cherbourg
1,3,female,20.6,0,0,21.13,Southampton
0,3,female,13.7,1,0,20.16,Southampton
0,3,male,8.7,0,1,15.83,Cherbourg
1,2,male,53.1,1,0,32.19,Queenstown
0,3,male,32.8,1,0,16.09,Cherbourg
1,3,male,34.3,1,0,23.94,Southampton
1,3,male,24.7,0,0,29.22,Southampton
0,3,male,26.6,1,1,29.0,Cherbourg
1,3,female,42.5,2,1,25.52,Southampton
0,3,male,28.5,0,0,20.04,Southampton
0,2,male,36.4,0,1,17.07,Southampton
0,3,male,26.3,0,0,9.45,Southampton
1,1,female,24.2,0,0,50.13,Southampton
0,3,male,9.3,1,1,11.43,Southampton
0,3,male,1.3,0,0,5.09,Queenstown
1,1,female,25.3,0,0,200.53,Southampton
0,3,male,29.8,0,0,26.6,Southampton
0,1,male,11.0,0,0,170.83,Southampton
1,3,female,28.5,0,0,11.35,Southampton
1,1,male,29.8,1,0,167.38,Southampton
0,3,male,0.5,0,0,15.87,Southampton
0,1,male,16.2,0,0,189.81,Southampton
0,3,male,34.7,1,1,29.99,Southampton
0,3,female,34.4,0,0,13.73,Queenstown
0,3,male,12.8,0,2,11.11,Cherbourg
0,3,male,31.2,0,0,11.68,Cherbourg
0,3,male,43.3,3,0,7.33,Cherbourg
0,3,male,39.9,1,0,14.85,Southampton
1,2,male,27.7,0,1,41.57,Southampton
0,3,male,22.4,0,0,7.86,Southampton
1,1,female,20.2,0,2,197.2,Cherbourg
0,3,male,35.5,0,0,9.0,Southampton
0,1,male,31.7,0,0,186.28,Southampton
0,3,male,37.8,2,0,7.64,Southampton
0,3,male,30.8,1,0,26.65,Southampton
0,3,male,40.5,0,0,10.53,Southampton
0,3,male,30.3,1,0,7.71,Cherbourg
0,3,male,40.0,2,0,5.25,Southampton
1,3,female,41.2,0,0,22.88,Southampton
0,3,female,17.7,0,0,11.42,Cherbourg
0,3,male,3.7,1,0,17.74,Southampton
0,3,male,50.6,0,0,7.79,Southampton
1,1,male,32.6,1,0,190.1,Southampton
0,1,male,5.0,0,0,202.83,Southampton
0,1,male,19.0,0,0,113.09,Southampton
0,3,female,39.8,1,0,26.29,Southampton
1,2,female,25.1,0,1,27.48,Southampton
1,3,female,21.8,0,0,11.67,Southampton
0,3,male,48.6,0,0,25.21,Southampton
0,2,female,14.3,0,1,25.22,Cherbourg
0,3,male,17.8,0,0,5.07,Southampton
0,3,male,32.0,0,0,15.7,Southampton
1,2,male,34.5,0,2,54.99,Southampton
1,2,female,35.9,0,2,19.48,Southampton
0,2,male,41.8,0,0,57.71,Southampton
1,1,female,31.8,1,0,106.32,Southampton
0,1,male,35.9,0,0,70.34,Cherbourg
1,3,female,25.4,0,2,22.5,Cherbourg
0,2,male,29.9,0,2,30.28,Southampton
1,2,male,30.5,0,0,46.54,Southampton
1,3,female,32.0,1,0,27.02,Cherbourg
0,3,male,39.8,0,0,19.49,Cherbourg
0,3,male,36.8,0,0,24.81,Queenstown
0,3,male,29.6,2,0,11.57,Southampton
0,3,male,17.7,1,0,8.05,Southampton
1,2,male,29.9,1,0,20.79,Southampton
0,3,male,28.6,1,0,24.85,Cherbourg
0,3,male,31.7,1,0,14.65,Cherbourg
1,3,female,59.9,0,0,5.59,Cherbourg
0,1,male,21.7,0,0,101.32,Southampton
0,3,male,34.9,0,0,10.15,Cherbourg
0,3,male,44.0,0,2,13.48,Southampton
0,1,male,30.4,0,0,99.72,Southampton
1,3,male,61.7,0,0,7.5,Southampton
0,3,female,23.7,0,0,6.8,Southampton
1,1,female,33.5,1,0,65.36,Cherbourg
1,3,male,17.8,1,0,27.92,Queenstown
1,3,male,24.1,0,0,12.78,Southampton
0,2,male,32.5,0,0,14.55,Southampton
0,3,male,40.8,0,0,29.73,Southampton
0,2,male,33.5,0,0,55.72,Southampton
1,2,female,46.6,1,0,47.74,Southampton
0,3,male,27.7,1,0,18.02,Southampton
0,3,male,24.3,1,0,14.42,Southampton
0,1,male,66.9,1,0,154.25,Cherbourg
1,3,male,34.5,2,0,28.97,Cherbourg
0,3,male,18.9,0,0,24.7,Cherbourg
1,2,male,19.3,0,0,28.87,Southampton
1,3,female,15.8,0,0,13.31,Southampton
1,1,male,42.1,0,2,119.96,Southampton
0,3,male,23.9,0,2,8.39,Queenstown
1,3,male,30.8,0,2,26.24,Southampton
1,3,female,28.1,2,0,11.38,Southampton
0,1,male,39.2,0,0,114.87,Southampton
1,3,female,17.1,2,0,25.16,Southampton
1,1,female,13.9,1,0,226.0,Southampton
0,2,male,32.1,0,0,38.35,Southampton
1,1,female,37.4,0,0,192.91,Southampton
1,3,male,33.7,0,0,14.19,Southampton
0,1,female,17.7,0,0,259.94,Cherbourg
1,3,male,38.5,0,0,17.75,Southampton
1,3,female,18.6,2,0,15.88,Southampton
0,1,male,21.7,0,0,137.26,Southampton
0,1,male,15.8,0,1,99.12,Cherbourg
1,1,male,47.2,1,0,192.24,Southampton
1,3,female,37.9,0,0,27.29,Southampton
0,3,male,37.5,0,0,5.9,Southampton
1,1,male,46.5,0,0,151.4,Southampton
1,3,female,68.4,0,0,21.51,Southampton
0,1,female,5.1,0,0,214.33,Cherbourg
0,3,male,18.7,0,0,19.84,Southampton
0,3,male,20.4,0,0,25.61,Cherbourg
0,3,male,17.1,0,0,10.57,Southampton
0,3,female,13.9,0,2,13.82,Southampton
0,3,male,24.8,0,0,28.55,Cherbourg
1,1,female,12.0,0,0,165.88,Cherbourg
1,1,male,33.7,0,0,233.48,Southampton
0,1,male,29.7,0,0,66.77,Queenstown
0,3,male,35.7,0,0,16.28,Southampton
1,3,male,36.1,0,0,6.47,Cherbourg
1,3,female,37.4,1,0,27.31,Southampton
0,3,male,23.8,2,0,25.45,Southampton
1,1,male,58.7,0,0,125.23,Southampton
1,3,female,32.3,1,0,11.99,Cherbourg
1,1,female,2.9,0,2,111.28,Southampton
0,2,female,15.0,0,1,45.85,Southampton
1,3,male,4.6,1,2,23.04,Southampton
1,3,male,29.2,1,0,18.92,Southampton
0,3,female,27.3,1,0,10.85,Southampton
0,1,male,22.4,0,0,129.74,Southampton
0,3,male,57.2,1,2,29.48,Southampton
1,1,female,36.7,0,0,75.41,Southampton
0,3,male,39.2,0,0,16.46,Southampton
1,3,male,16.0,0,0,17.35,Southampton
1,1,female,15.0,3,0,144.36,Southampton
0,1,male,29.5,0,0,115.1,Southampton
1,1,male,31.4,1,0,87.54,Southampton
0,3,male,3.0,0,0,8.93,Southampton
0,3,male,26.5,1,1,8.87,Southampton
0,3,male,29.2,1,0,26.41,Southampton
0,3,female,26.0,1,1,12.78,Southampton
0,3,female,17.6,0,0,20.76,Southampton
1,1,male,21.4,0,0,213.26,Southampton
0,3,male,26.5,0,0,25.98,Southampton
1,2,female,30.3,0,2,19.6,Cherbourg
1,3,male,37.5,0,0,26.01,Southampton
1,3,male,44.1,0,0,20.63,Southampton
0,3,male,24.9,0,0,16.24,Southampton
1,3,female,22.6,0,0,14.84,Southampton
1,1,male,35.1,0,0,81.33,Southampton
0,3,female,37.6,1,0,15.46,Southampton
1,2,male,22.9,0,2,27.98,Southampton
0,3,male,40.1,3,0,15.6,Southampton
1,1,male,42.7,2,0,256.44,Southampton
0,1,male,47.1,0,0,156.93,Southampton
0,2,male,53.9,1,1,53.95,Southampton
1,2,male,16.9,0,1,36.61,Southampton
0,2,male,29.2,1,0,34.72,Southampton
0,3,male,29.2,0,2,25.15,Southampton
0,3,male,27.6,0,0,18.57,Cherbourg
0,2,male,19.9,0,1,27.98,Cherbourg
1,2,female,8.2,0,2,25.0,Southampton
0,1,male,30.3,3,0,92.34,Cherbourg
1,3,female,18.2,0,0,29.43,Southampton
1,2,female,30.2,1,0,54.68,Southampton
1,1,male,17.9,3,0,92.07,Cherbourg
1,2,female,13.6,0,1,22.53,Southampton
1,3,female,32.3,0,0,13.3,Southampton
0,1,male,31.1,1,0,119.4,Southampton
0,3,male,37.1,0,2,14.05,Southampton
1,3,male,59.6,0,0,6.52,Southampton
0,3,male,32.9,0,0,5.21,Cherbourg
0,3,male,35.8,2,0,7.37,Cherbourg
0,3,female,13.9,0,0,7.46,Southampton
0,2,female,11.0,0,0,51.4,Southampton
1,3,male,51.2,0,0,18.15,Southampton
0,3,female,16.1,0,0,16.39,Southampton
1,2,male,14.4,0,0,38.61,Cherbourg
1,3,female,28.5,1,0,5.42,Southampton
0,2,male,27.7,1,0,40.88,Southampton
0,3,female,16.4,0,0,24.43,Southampton
1,3,female,24.7,0,0,27.75,Southampton
1,3,male,46.2,0,0,15.96,Queenstown
0,3,male,17.7,0,0,7.04,Cherbourg
1,3,female,9.5,0,0,24.97,Southampton
1,3,male,42.2,1,0,27.13,Southampton
1,3,male,35.9,0,2,15.34,Southampton
1,2,female,20.3,0,0,18.16,Southampton
0,3,male,6.8,0,0,6.1,Queenstown
0,3,male,18.6,0,0,19.78,Southampton
1,1,male,28.2,0,0,240.35,Cherbourg
1,1,male,45.3,2,0,89.27,Queenstown
0,3,female,14.5,1,1,12.93,Southampton
1,1,male,27.8,2,1,75.34,Southampton
0,2,male,38.5,1,0,34.93,Southampton
0,2,male,0.5,0,0,41.15,Cherbourg
1,1,female,43.5,2,0,179.28,Southampton
0,2,male,12.4,0,0,46.2,Southampton
0,3,female,33.6,0,0,13.71,Southampton
1,1,female,32.5,0,0,62.68,Southampton
0,3,female,44.2,0,2,16.62,Southampton
1,3,female,36.7,0,0,29.43,Cherbourg
0,2,female,0.5,0,0,58.07,Southampton
1,1,female,18.0,1,0,118.18,Southampton
0,3,male,30.9,1,0,14.87,Southampton
1,1,female,26.3,0,2,89.18,Southampton
1,2,male,35.7,0,0,19.59,Southampton
1,3,male,40.1,1,0,23.07,Southampton
0,3,female,37.5,0,0,14.52,Cherbourg
1,3,female,26.0,0,2,14.6,Southampton
1,2,female,3.2,0,0,40.25,Southampton
0,3,male,22.6,0,0,6.52,Southampton
0,3,male,34.8,0,1,21.38,Southampton
0,2,male,13.7,1,1,13.32,Queenstown
0,3,male,37.8,1,0,16.33,Southampton
0,1,male,41.7,1,1,136.71,Southampton
0,1,male,30.8,0,0,210.29,Southampton
0,3,male,0.5,1,0,26.16,Southampton
0,1,female,11.1,0,1,194.41,Southampton
1,1,male,55.4,0,0,128.62,Southampton
0,3,female,21.3,0,0,22.86,Southampton
0,3,male,1.2,0,2,19.55,Cherbourg
1,3,male,46.3,0,1,20.8,Southampton
0,3,male,29.2,0,1,18.89,Southampton
0,3,male,44.5,0,0,24.32,Southampton
1,1,female,32.9,0,2,104.08,Southampton
0,2,male,35.4,0,0,41.93,Southampton
1,2,male,34.1,0,0,26.03,Cherbourg
1,1,female,38.8,2,0,172.19,Southampton
1,3,female,60.9,0,1,21.6,Southampton
0,2,male,42.6,0,2,17.03,Queenstown
0,3,male,6.9,0,0,14.49,Queenstown
1,1,male,35.3,1,0,233.4,Southampton
1,1,male,45.0,0,0,178.49,Southampton
0,3,male,45.8,1,0,18.16,Southampton
0,1,male,23.0,0,0,174.02,Cherbourg
1,1,female,45.3,0,0,135.67,Southampton
1,2,male,42.0,0,0,53.7,Cherbourg
0,3,male,65.0,0,1,9.2,Southampton
0,3,male,18.5,1,0,12.14,Southampton
1,3,female,21.9,1,1,13.45,Southampton
0,1,male,24.7,0,0,227.36,Southampton
1,2,female,22.1,2,0,26.51,Southampton
0,3,female,16.5,0,0,9.81,Cherbourg
0,3,male,0.5,0,0,20.85,Southampton
0,3,male,22.9,0,0,9.75,Southampton
0,3,male,34.2,0,0,8.09,Southampton
1,3,male,22.1,1,0,29.23,Southampton
1,1,female,56.1,0,0,234.59,Southampton
0,2,male,29.2,0,0,59.64,Southampton
1,3,female,47.1,0,0,17.25,Queenstown
1,2,male,32.7,0,0,26.85,Queenstown
1,3,male,40.6,0,0,19.36,Cherbourg
0,3,male,32.9,1,0,18.96,Southampton
1,3,female,48.2,0,0,5.37,Southampton
1,3,female,29.8,0,0,26.53,Southampton
1,3,male,35.9,0,0,20.5,Southampton
0,3,male,34.1,0,2,23.62,Queenstown
0,3,female,25.0,0,0,17.35,Southampton
1,3,male,34.7,1,0,20.46,Cherbourg
1,2,female,60.3,2,0,40.53,Southampton
0,3,male,25.2,0,0,29.34,Southampton
0,3,male,34.9,2,0,15.02,Southampton
1,1,male,46.6,0,1,66.46,Cherbourg
1,2,male,45.0,0,0,24.68,Queenstown
0,3,male,29.2,1,0,20.9,Southampton
0,3,male,0.5,1,0,29.58,Cherbourg
1,1,female,36.2,1,0,160.92,Southampton
0,2,male,0.5,0,0,43.3,Southampton
1,1,male,49.6,0,0,52.21,Southampton
1,1,male,31.4,0,0,77.1,Queenstown
1,3,male,43.0,0,2,13.48,Southampton
1,2,male,16.4,0,0,14.19,Southampton
0,2,male,7.3,0,2,32.65,Southampton
0,3,male,32.7,0,0,10.54,Southampton
